Tag ,Text
<p>,"PEC faculty are highly distinguished individuals. Most of the faculty members have had the opportunity to earn degree from highly rated institutions across the country. For the faculty , teaching is more of a passion than profession. They not only create well-educated students, but make them also acquire awareness about the changing world scenario in the field of Engineering & Technology . The faculty members of PEC have constantly been in headlines for their noteworthy achievements and contributions in research. Most of them have industrial experience which has proved to be a great benefit for our students. They are dedicated to the noble task of imparting state of the art knowledge to the young budding minds."
<p>,"The workshop was coordinated by Dr. Suman Kant, (Associate Professor, Department of Production and Industrial Engineering), Dr. R.S. Walia (Professor, Department of Production and Industrial Engineering), Dr. C.S. Jawalkar (Associate Professor, Department of Production and Industrial Engineering), Dr. N.M. Suri (Professor, Department of Production and Industrial Engineering) and Dr. M.M. Goud (Associate Professor & HOD, Department of Production and Industrial Engineering). Prof. Dheeraj Sanghi, Director, PEC Chandigarh was the Chief patron and Prof. Hari Singh , NIT Kurkshetra was the Chief guest for the Inaugural session on the first day of the course."
<p>,"The event commenced by a lamp lighting ceremony by Dr. Sanjeev Kumar, the DSA of PEC, Mr. Rahul Vaishya, Officer incharge of ASME PEC, Dr. Siby John, Deputy Director of PEC , Rear Admiral Amulpreet Singh Sethi, Chief guest and keynote speaker of the day, Mr. Sundar Raman Mohan, GM Siemens India Ltd., followed by a few enlightening words by Dr. Sanjeev Kumar and Dr. Siby John."
<p>,"An Expert Lecture on “IoT and Telemedicine” was held on 10th July, 2019. The lecture has been organized by the Computer Centre as a part of the ongoing Six Weeks Workshop on Web Development & Introduction to Programming the Internet of Things (IoT) in association with Chandigarh Subsection of IEEE to provide the students with an opportunity to get an introduction to the world of Fog Computing. The guest lecture began with a welcome address by Sh. Prabhsimran Singh Bindra, Co-Coordinator for the workshop. He also introduced Dr. Sanjay Batish, Coordinator of the workshop and fellow Co-Coordinators namely Sh. Sushil Kumar and Sh. Sandeep Pathak. He then welcomed Dr. Sanjay Sood, Associate Director, C-DAC, Mohali, resource person to deliver the lecture."
<p>,"Dr. Sanjay Sood did his Ph.D from Indraprastha University, Delhi and has national implementations centered on Health Informatics (Telemedicine / eHealth and Personal Health Records as his research area. He has provided Advisory services to the Chandigarh Administration on Transforming Chandigarh into a Smart City, Digital India Programme and eGovernance projects / Mission Mode Projects under National eGovernance Plan (NeGP) / UIDAI / Multilateral Funding Agencies like World Bank in various departments of Chandigarh Administration. The session was then continued by Dr. Sanjay who began with an introduction to a Project for national roll-out/implementation of telemedicine at 1,55,000+ Health & Wellness Centres across India under Ayushman Bharat Scheme of Govt. of India. Following which, he explained the role of IoT Devices in Health Informatics / Healthcare IT / eHealth / Telemedicine. His lecture took the participants on a journey starting from various eGovernance projects / Mission Mode Projects under Ministry of Health and Family Welfare, Govt. of India to IoT based solutions to improved health & wellness across the country."
<p>,"An Expert Lecture on “Introduction to Fog Computing” was held on 28th June, 2019. The lecture has been organized by the Computer Centre as a part of the ongoing Six Weeks Workshop on Web Development & Introduction to Programming the Internet of Things (IoT) in association with Chandigarh Subsection of IEEE to provide the students with an opportunity to get an introduction to the world of Fog Computing. The guest lecture began with a welcome address by Sh. Prabhsimran Singh Bindra, Co-Coordinator for the workshop. He also introduced Dr. Sanjay Batish, Coordinator of the workshop and fellow Co-Coordinators namely Sh. Sushil Kumar and Sh. Sandeep Pathak. He then welcomed Dr.Nitin Auluck, Assistant Professor, Department of Computer Science & Engineering, IIT Ropar, resource person to deliver the lecture."
<p>,"An Expert Lecture on “How to build RFID and IoT Devices” was held on 25th June, 2019. The lecture has been organized by the Computer Centre as a part of the ongoing Six Weeks Workshop on Web Development & Introduction to Programming the Internet of Things (IoT) in association with Chandigarh Subsection of IEEE to provide the students with an opportunity to get an introduction to the world of RFID and IOT Devices. The guest lecture began with a welcome address by Sh. Prabhsimran Singh Bindra, Co-Coordinator for the workshop. He also introduced Dr. Sanjay Batish, Coordinator of the workshop and fellow Co-Coordinators namely Sh. Sushil Kumar and Sh. Sandeep Pathak. He then welcomed Dr.Suman Kumar, Assistant Professor, Department of Electrical Engineering, IIT Ropar, resource person to deliver the lecture."
<p>,"Dr. Suman Kumar did his Ph.D from IIT Madras and has Performance analysis of mobile broadband wireless networks including Frequency reuse, HetNets, Hypergeometric functions, Generalized fading models, Spectrum sharing as his research areas. The session was then continued by Dr. Suman who began with an introduction to what RFID is and how important IoT is going to be in the near future. Following which, he explained the issues faced by Self Driven Vehicles (SDVs) and what are the various solutions to these issues. His lecture took the participants on a journey starting from the basics of Wireless Communication to Graph Theory based Complex Algorithms which control them."
<p>,"Prize Distribution Ceremony for Ignite 2019 - Business Idea Challenge was held on 9th April 2019 to present cash prizes to the winning teams of Ignite. Prize Distribution Ceremony began with a welcome address followed by an overview of Entrepreneurship and Incubation Cell by Dr. Anju Singla, Coordinator, EIC. The event was graced by Director Dr. Dheeraj Sanghi who presented cash prizes worth Rs. 35,000 to the winning teams. Dr. Sanghi congratulated the winning teams and motivated them to convert their ideas in successful business ventures. He also ensured them all possible support from the institute. The EIC Implementation Committee members were also present during the ceremony."
<p>,"The camp was honored by the presence of Dr. Uma Batra, Deputy Director, Dr. Permindejit Singh, DSA, Dr. Raminder Kaur, ADSA (Clubs and Tech. Society), Punjab Engineering College (Deemed to be University),Chandigarh. Dr. Uma Batra being an alumnus too recalled that, since her college days, students showed great exuberance towards this noble cause."
<p>,"In the session on “Design and Development of MEMS based accelerometer” , Dr. Ravindra Mukhiya elaborated on the design of low cost MEMS based accelerometer based on piezoresistive transduction mechanism. He addressed various challenges incurred during design and fabrication of accelerometer along with explaining its applications in flight and navigation control in avionics. He also highlighted the improved differential mode of accelerometer and its noise cancellation capability with increased sensitivity. Dr. S Santosh Kumar briefed the audience about “MEMS based piezoresistive pressure sensor” which is replacing conventional macro pressure sensors for detecting gas pressure etc. in pipelines/valves in industries. He further elaborated specialized MEMS fabrication techniques like surface and bulk micromachining and their applications in creating miniaturized MEMS devices at micro scale. The session on “Carbon Nanotechnology and Nanopatterning Techniques” was delivered by Dr. Pankaj Bhushan Agarwal. He explained unique electrical and optical properties of carbon nano-tubes and their applications in various emerging fields. He informed about recent novel lithography techniques such as DPN, AFM based lithography etc. for Nano pattering of futuristic nanoelectronic devices. The material morphological characterization is another important aspect of any nanoelectronic device/senosor fabrication which was explained by Dr. Rishi Sharma. He mainly discussed about the utilization of Raman spectroscopy for the development of Nano-Bio sensors and Electrochemical Sensors."
<p>,"The Department of Electrical Engineering of Punjab Engineering College (Deemed to be University), Chandigarh organized the 6th annual J.K. Memorial Lecture on 5th March 2019. Prof. V. Ramgopal Rao, Director IIT-Delhi, Fellow IEEE, FNAE, FNA, FASc and FNASc,was the guest speaker who gave an enlightening talk on “Bridging Academic R&D with Product Innovation: A Way Forward”. “If you do not question and take it as it is, you will become a software engineer.”- Prof. Rao. The session motivated students to think of technical advancement in terms of entrepreneurship. Young engineers were prompted to rethink the way technology affects everyday lives and it’s exponential advancement. He defined engineering as the process of finding sustainable solutions to problems, ranging from refining medical equipment to doubling farmers’ incomes. His major emphasis lied on the importance of an interdisciplinary approach to these issues and leverage technology to resolve these problems, especially specialized branches of engineering like Nanotechnology. He pointed to the Institute of Nano Science and Technology (INST), Chandigarh as an example of a great research facility with some of the brightest minds. In terms of research output, India is growing at 14%, compared to the world average of 4% but the number of patents filed by Indian researchers is very low. This means we are generating a lot of knowledge but not translating it into tangible products. He urged the budding engineers in the room to aspire to develop new products and technology to solve the nation’s pressing issues. Citing examples from his own research in the field of nanotechnology, he further explained the working of the novel ‘electronic nose platform for explosive detection’. While giving an overview of the product development process from identifying a problem statement, developing prototypes, testing them, preparing contingency plans and implementing the final solution, he gave an example of how they used piezoelectric sensors to tap into the vibrations of moving buses and trains and harvest that power to charge batteries. The speaker himself has collaboration with students and faculty across IIT Delhi and Bombay to develop cost-effective sensors in agriculture to detect soil health and optimize the output and highlighted the varied background of the people involved in the project, from mechanical and electrical engineers to semiconductor experts. The session ended with a perceptive Q&A and allowed the audience to voice their concerns and clear their doubts regarding prototype development, funding issues, technological issues and resource allocation in research. The event was attended by the faculty and B.E., M.E. and PhD. students of Electrical Engineering Department at PEC. Mr. Arun Grover, ex-Vice Chancellor of Punjab University and a representative of the late Professor Jagdish Kumar Arora’s family also graced the event. Dr. Raminder Kaur, Convener, gave the vote of thanks and expressed her gratitude to Prof. Rao for the informative session. The event was a sound reminder of PEC’s dedication to promoting research and bridging the gap between industry and academia."
<p>,"A workshop on entrepreneurship as a career option was organised in Punjab engineering college (deemed to be university), Chandigarh on 14th of February 2019. The workshop was organised taking into consideration the need of indulging the entrepreneurial thinking in the minds of the emerging students in the present-day scenario of the growing world. The event was presented by the Electronics and communication department of the college and it was held in association with IEEE(Chandigarh-subsection) and the IEEE(student branch) along with the support of technical education quality improvement programme(TEQIP-III). The speaker of the workshop : Dr. Lalit Sharma, was introduced by the associate professor Dr. Arun Kumar Singh who is also the secretary of IEEE Chandigarh sub-section. Dr. Lalit Sharma is a faculty member at the Centre for Research in Entrepreneurship Education and Development at Entrepreneurship Development Institute of India(EDII, Ahmedabad ). He is also a part of the Centre for Policy Research in S&T Entrepreneurship developed by the Department of Science and Technology, Government of India at EDII, wherein he is actively engaged in the national research projects of the Government of India on entrepreneurship development in the country. His research articles on entrepreneurship have been widely published in various reputed international journals such as Teachers and Teaching: Theory and Practice, Journal of Entrepreneurship in Emerging Economies, Journal of Global Entrepreneurship Research, International Journal of Gender & Entrepreneurship, Journal of Entrepreneurship and several others. Dr. Sharma highlighted the emerging need of educational institutions to indulge in the entrepreneurial approach in students as the growth of entrepreneurship in a country leads to the growth of the country. He also shared the facts and figures of both the developed and developing countries in encouraging start-ups over the past few years and how those start-ups are changing the current scenario of the country. He elaborated the type of fears the youth has when they try to step up in the corporate world independently and also suggested the effective solutions of overcoming those fears and anxieties. He highlighted the lack of female entrepreneurs in the country and its possible reasons. The speaker gave a comprehensive idea to the audience about the ongoing schemes of the govt. of India like start-up India scheme,CGTMSE, stand-up India ,mudra yojana and many more to support and encourage the skilful and innovative minds in the country. Finally Dr.Lalit Sharma was greeted with a token of respect from Dr. Arun kumar Singh, Associate Professor, Electronics & Communication Department"
<p>,"The guest speaker for the second workshop on ‘Big Grants’ was Dr. Ashutosh Pastor, the Incubation Manager of Foundation for Innovation and Technology Transfer (FITT) at IIT Delhi. Mr. Rakesh Kumar, Adjunct Faculty of Centre of Excellence in Industrial and Product Design, Dr. Anju Singla, Coordinator of EIC, Dr. J.D. Sharma, Head of Materials and Metallurgical Department, faculty members from PEC and IISER and students from PEC and IISER Mohali who started different projects on their own participated in the workshop. In the workshop, Dr. Pastor acquainted the audience with various cutting edge technology solutions in the field of medicine. He briefed them about the essential things in building up a start-up and told them the process to apply For BIG GRANTS offered by different agencies. He also emphasized that it’s the right time for forming start-ups since the government is funding and incubating them. He elaborated on the essential elements required in the application process for big grants. At the end of the workshop, Dr. Pastor satisfied various queries raised by the participants. The elucidating workshops were an excellent insight into the importance and procedure of obtaining patents for future engineers, scholars and entrepreneurs at PEC."
<p>,"On the occasion of World Energy Conservation Day, 2018, the Department of Electrical engineering, Punjab Engineering College organised a Poster Making and Debate Competition. The event was sponsored by Bureau of Energy Efficiency's State Designated Agency, Chandigarh Administration. The event was inaugurated by Shri. Karan Kandhari, CEO, GMK Infra Solutions LLP, Mohali. He enlightened the students regarding the concepts of habitual and technical change needed for energy conservation. Coordinator of the event, Dr. Tilak Thakur, Head, Department of Electrical Engineering talked to the students regarding the various projects being undertaken by the institute to improve energy efficiency. Over 40 students participated in the event with appealing and informative posters depicting simple everyday measures to conserve energy. The closing ceremony was graced by various dignitaries. Coordinator, Dr. Tilak Thakur and Co-ordinator, Prof. Har Amrit Singh, Department of Civil Engineering, welcomed the guests. Mr. Gurpreet Singh Bains, SDE, Electrical gave a presentation on the importance of energy conservation, designing energy efficient homes and silent revolution in appliances. Chief guest, Mr. Mukesh Anand, Special Secretary discussed the efforts by the Chandigarh Administration for conserving energy including smart grids and solar energy integration. Mr. Ranjit Singh, Superintending Engineer, Electrical Circle cum SDA enlightened the students about the various BEE policies behind undertaken by the BEE under the Ministry of Power and the Chandigarh, SDA. The posters highlighted the need for renewable energy sources, making smart decisions and using energy efficient appliances. Dr. Tejinder Singh Saggu, Dr. Rintu Khanna and Dr. Sulata Bhandari adjudged the event. In the Degree holder category: Preetika Setia, Mayank, Jatin Hooda, Yogita Gupta and Harpreet won the first five positions. In the Diploma category, Nishant Deep from Chandigarh Polytechnic bagged the first position."
<p>,"Foundation for Innovation and Technology Transfer (FITT), a research institute of IIT Delhi, organized a seminar on Venture Funding at Punjab Engineering College, Chandigarh on 6th December 2018. The PEC Director Dr. Uma Batra, EIC coordinator Dr. Anju Singla and Adjunct Faculty of Centre of Excellence in Industrial and Product Design Dr. Rakesh K. Sharma, along with the interested students were a part of the discussion on scope and requirement of incubation and entrepreneurship which was led by the Guest Speaker from FITT, Dr. Ashutosh Pastor."
<p>,"The ceremony was graced by Dr. Rajnish Prakash, former principal of PEC, as the Chief Guest. Before the ceremony started, the Chief Guest and the alumni were received by the Director Dr. Uma Batra and the Dean Alumni Dr. K K. Gogna in the Director’s office. The ceremony began by lighting of the lamp and the playing of the PEC anthem, following which the Chief Guest addressed the audience."
<p>,"The Workshop opened with the welcome of Mr. Avinash Pansi (Sr. Vice-President) and Mr. Amit Chopra (Vice-President) from Vardhman Special Steel Ltd. Dr. J.D. Sharma, Coordinator addressed everybody and highlighted the aims and objectives of the workshop. This was followed by the address by Dr. Uma Batra, head of Materials & Metallurgical Engineering Department, who talked about PEC, its rich legacy and how things have evolved in the last few decades. She also spoke about the three sponsored projects going on in the Department and stressed upon the fact that the aim of PEC is to become an esteemed teaching as well a research institute. She shared that the faculty in the department were actively involved in various consultancy and industry based projects wherein UG, PG and Ph.D. students were taking up live projects from industry. She also highlighted how the new curriculum of the Institute has inculcated Industry components like courses being taught by industry experts, Academia-Industry interaction week and other initiatives."
<p>,"In the meeting with Deans and Heads of the Department, Dr. Arun Grover, Ex VC PU, Dr. Amarjeet Singh and Dr. Avikshit who joined PEC as Eminent Professors are introduced by the Director. Dr. Arun Grover with his vast experience in collaborative interdisciplinary research will assist PEC with his technical and administrative competencies. Dr. Amarjeet, has been associated with defense research labs like TBRL and SASE DRDO. He has vast research work in the domain of Shock wave, Applied CFD and Pulse Detonation Engine. Cdr. Avikshit, a PEC alumnus from Production Engineering Department has also joined the Centre for Management and Humanities (PEC) as Professor. He is Cdr. retd. Submariner. He left Navy in 2007 and thereafter worked with Pipavav and Swan Energy as COO. He has vast experience in Project Management of technology and operations."
<p>,"Commander L. R. Parkash introduced the concept of port addresses and NAT. NAT maps private IP address to public IP address. The main use of NAT is to limit the number of public IP addresses an organization or company must use, for both economy and security purposes. Port addresses are used to send packets to particular application on a system. Some services or processes have conventionally assigned permanent port numbers. These are known as well-known port numbers. In other cases, a port number is assigned temporarily (for the duration of the request and its completion) from a range of assigned port numbers. Various security features and attacks in this model are elaborated with suitable examples. For example, there may be DoS or DDoS attack on the web server by sending multiple bogus requests to web server to occupy all ports on server. Natting makes provisions such that no outside packet can reach to private network. Net neutrality concept and implications were discussed with students. ISP may peep into personalized traffic to route traffic differently to different users. Further, the speaker talked about Virtual Private Networks. VPN technology was developed as a way to allow remote users and branch offices to securely access corporate applications and other resources. To ensure safety, data travels through secure tunnels and VPN users must use authentication methods -- including passwords, tokens and other unique identification methods -- to gain access to the VPN. Session ended with Cmdr. Parkash motivating the students to thoroughly study basic and advanced communication infrastructure over the internet and create solutions to our day-to-day problems."
<p>,"Cmdr. L. R. Parkash started the session discussing about Virtual Private Network (VPN) Tunneling. VPN Tunneling has three components Carrier, Passenger and Encapsulation of data. A thorough explanation of how the data is transmitted and encapsulated over VPN was given. Tunneling can be done site-to-site or through remote access in VPNs. The various advantages of VPN include greater scalability, mobility, security, cost effectiveness, etc. The major disadvantages of VPN are unpredictable internet traffic and understanding of different security issues. A brief presentation was given on the topic of Address Resolution Protocol (ARP) which is used to obtain MAC address from a given IP address. ARP is a stateless protocol which does two jobs that are, responding to a query and ownership announcement. ARP cache tables are maintained to map MAC addresses from IP addresses. The major drawback of ARP is ARP spoofing. ARP announcements are not authenticated, the requests are not tracked and ARP tables can be easily poisoned by man-in-the-middle attack. Various solutions to ARP spoofing involve software-detection solutions such as Xarp, ArpWatch, Anti-arpspoof and MAC binding. The speaker ended the lecture with a amall talk on TCP Session Hijacking, Droppers and BotNets."
<p>,"The course was inaugurated by Professor Balwinder Singh, Dean Faculty Affairs, PEC. An introduction of the PEC and the Department of Applied Sciences was given to the participants by Professor Harminder Kaur, Head of the Department of Applied Sciences. During the six days of the workshop, a total of 22 one and a half hour sessions were conducted. Professor Uma batra from PEC discussed Mathematical Modelling of various problems in Material Science whereas Professor S S Dhami from NITTTR and Professor A Manna from PEC discussed Mathematical Modelling of Mehanical and Electrical Systems in their respective sessions. Dr. Sucheta explained the basic concepts and various methods available to solve problems of unconstrained optimization. Professor Vanita Verma from PU discussed constrained optimization problems, various solution techniques for such problems, and applications of Linear programming. The synergy between Mathematics and Computer Science was well elaborated by Professor S Sofat during his session, wherein he also explained the role of Discrete Mathematics in Computer Science. Professor M Raka from PU emphasized the Role of Number Theory in Cryptography in her talk. Big Data Analytics were explained by N Aggarwal from UIET in great detail during his session. Numerical Methods to solve differential equations arising out of various physical systems and the Mathematics used at the backend of these methods was explained very nicely in a series of lectures by Professor S Tomar from PU, Chandigarh. Various concepts of Linear Algebra and its Applications were discussed by Professor S Bhatia from UIET, Chandigarh."
